,names,main_category,keywords,ratings
860,거제민속박물관,랜드마크,역사박물관,3.8333333333333335
861,일산해수욕장,랜드마크,해변,4.556818181818182
862,평화의소녀상,랜드마크,기념비 및 동상,4.833333333333333
863,이효석 생가터,랜드마크,"역사적인 장소, 즐길거리 & 랜드마크",4.5
864,한국 가구 박물관,랜드마크,전문 박물관,4.805555555555555
865,빛의 벙커,박물관,"아트갤러리, 아트뮤지엄",4.666666666666667
866,영남대학교박물관,박물관,"아트뮤지엄, 역사박물관",4.833333333333333
867,제주 선흘리 벵뒤굴,박물관,동굴,4.5
868,롯데월드 민속박물관,박물관,역사박물관,4.711864406779661
869,춘천미술관,박물관,전문 박물관,4.5
870,행궁동 공예마을,박물관,즐길거리 & 랜드마크,4.48
871,보문호,박물관,물길,4.554973821989528
872,가파도,박물관,섬,4.824324324324325
873,Gangwon Jonghap Museum,박물관,전문 박물관,4.666666666666667
874,롯데아울렛 서울역점,박물관,쇼핑몰,4.282945736434108
875,대구미술광장,박물관,아트갤러리,4.666666666666667
876,Okpo Table Tennis Court,박물관,스포츠 컴플렉스,4.0
877,가락시장,박물관,벼룩시장 & 재래시장,4.571428571428571
878,코버월드 화폐박물관,박물관,전문 박물관,4.75
879,평창무이예술관,박물관,전문 박물관,3.8333333333333335
880,신안젓갈타운,박물관,벼룩시장 & 재래시장,4.5
881,서울 대학로,박물관,"인근 지역, 즐길거리 & 랜드마크",4.59765625
882,김제 지평선축제,박물관,문화 이벤트,4.8125
883,Baengnokdam Lake,박물관,물길,5.0
884,평화의소녀상,박물관,"즐길거리 & 랜드마크, 기념비 및 동상",5.0
885,마제스타 카지노,박물관,카지노,4.5
886,남망산조각공원,박물관,공원,4.364583333333333
887,장림포구,박물관,"즐길거리 & 랜드마크, 부두 & 보드워크, 경관이 좋은 산책로",4.625
888,구봉산 전망대 카페거리,박물관,"즐길거리 & 랜드마크, 전망대, 절경 드라이브 코스",4.333333333333333
889,선유도 해수욕장,박물관,해변,4.5
890,한택식물원,박물관,가든,4.538461538461538
891,대현프리몰대구,박물관,쇼핑몰,4.4
892,함평 엑스포 공원 - 자연생태관,박물관,"즐길거리 & 랜드마크, 공원, 가든",4.5
893,비룡폭포,자연 / 공원,"하이킹 트레일, 폭포",4.589743589743589
894,춘장대해수욕장,자연 / 공원,해변,4.4
895,동명항,자연 / 공원,즐길거리 & 랜드마크,4.4411764705882355
896,아홉산숲,자연 / 공원,산림,4.9
897,이은진탁구교실,자연 / 공원,스포츠 컴플렉스,5.0
898,진도개테마파크,자연 / 공원,테마 파크,4.5
899,왕산해수욕장,자연 / 공원,해변,4.25
900,하남역사박물관,자연 / 공원,역사박물관,4.5
901,나비생태공원,자연 / 공원,공원,4.15
902,와룡시장,자연 / 공원,벼룩시장 & 재래시장,4.5
903,지리산 대원사,자연 / 공원,신성한 & 종교적인 장소,4.625
904,적상산성,자연 / 공원,역사적인 장소,4.6
905,평화의소녀상,자연 / 공원,기념비 및 동상,5.0
906,대구문화예술회관 향토역사관,자연 / 공원,역사박물관,4.4375
907,청도 프로방스,자연 / 공원,테마 파크,5.0
908,강화화문석문화관,자연 / 공원,전문 박물관,4.666666666666667
909,고남 패총박물관,자연 / 공원,"전문 박물관, 자연사 박물관",4.5
910,신세계 갤러리,자연 / 공원,아트갤러리,4.676470588235294
911,대전시민천문대,자연 / 공원,관측소 & 천체투영관,4.708333333333333
912,약령시관광안내소,자연 / 공원,관광센터,4.5
913,철의삼각 전적지,자연 / 공원,전쟁터 유적지,4.375
914,국립 한글 박물관,자연 / 공원,"전문 박물관, 역사박물관",4.482456140350878
915,망운사,자연 / 공원,신성한 & 종교적인 장소,5.0
916,이중섭 미술관,자연 / 공원,아트뮤지엄,4.448453608247423
